Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),Vehicle Age,Condition,Has_AC,Has_PowerSteering,Has_PowerMirror,Has_PowerWindow,Option_Count
21000000,BMW,520D M Sport,2011.0,140000.0,Automatic,Diesel,2000.0,15.0,Used,1,1,1,1,4
9475000,BMW,320i E90,2006.0,138000.0,Automatic,Petrol,1500.0,20.0,Used,1,1,1,1,4
11900000,BMW,523i E60,2007.0,220000.0,Automatic,Petrol,2500.0,19.0,Used,0,0,0,0,0
18200000,BMW,523i F10,2010.0,120000.0,Automatic,Petrol,2457.0,16.0,Used,1,1,1,1,4
14500000,BMW,320D,2011.0,46000.0,Automatic,Diesel,1995.0,15.0,Used,1,1,1,1,4
26300000,BMW,520d,2015.0,114444.0,Automatic,Diesel,2000.0,11.0,Used,1,1,1,1,4
22850000,BMW,318i M,2018.0,75000.0,Automatic,Petrol,1500.0,8.0,Used,1,1,1,1,4
18700000,BMW,520D,2012.0,151000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
12000000,BMW,523i E60,2005.0,235000.0,Automatic,Petrol,2500.0,21.0,Used,1,1,1,1,4
18500000,BMW,523i,2010.0,165.0,Automatic,Petrol,2300.0,16.0,Used,1,0,1,1,3
21000000,BMW,520D F10,2013.0,162000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
5000000,BMW,E60 530i,2004.0,235000.0,Automatic,Petrol,3000.0,22.0,Used,1,1,1,1,4
12700000,BMW,320i E90 LCI,2011.0,12.0,Automatic,Petrol,2000.0,15.0,Used,1,1,1,1,4
22000000,BMW,318i,2018.0,93000.0,Automatic,Petrol,1500.0,8.0,Used,1,1,1,1,4
33700000,BMW,730Ld Model,2012.0,89000.0,Automatic,Diesel,3000.0,14.0,Used,0,0,0,0,0
36500000,BMW,530i M Sport,2017.0,63000.0,Automatic,Petrol,2000.0,9.0,Used,1,1,1,1,4
18000000,BMW,520D,2013.0,128000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
14700000,BMW,320D F30,2012.0,180000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
30500000,BMW,520d,2016.0,95000.0,Automatic,Diesel,3000.0,10.0,Used,0,0,0,0,0
6300000,BMW,E39 520i,1998.0,48000.0,Manual,Petrol,2000.0,28.0,Used,1,1,1,1,4
20700000,BMW,520d M Sport,2012.0,160000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
34000000,BMW,740E,2017.0,42000.0,Automatic,Hybrid,2000.0,9.0,Used,1,1,1,1,4
39500000,BMW,740EM-Sport Plus,2018.0,53500.0,Automatic,Petrol,2000.0,8.0,Used,0,0,0,0,0
